nro_asiento,fecha,concepto,cuenta_codigo,cuenta_nombre,debe,haber,detalle
OP-001,2025-01-02,"Suscripción e integración del capital social en efectivo (Acta constitutiva N.º 1)",1.1.01.02,"Banco c/c ARS",30000000.00,0.00,"Acta constitutiva 1"
OP-001,2025-01-02,"Suscripción e integración del capital social en efectivo (Acta constitutiva N.º 1)",3.1.01,"Capital social",0.00,30000000.00,"Acta constitutiva 1"
OP-002,2025-01-03,"Constitución del fondo fijo (caja chica) — extracción bancaria",1.1.01.06,"Fondo fijo",300000.00,0.00,"Recibo interno FF-01"
OP-002,2025-01-03,"Constitución del fondo fijo (caja chica) — extracción bancaria",1.1.01.02,"Banco c/c ARS",0.00,300000.00,"Recibo interno FF-01"
OP-101,2025-01-05,"Alquiler del local — 01/2025 (Factura A 0055-00000001)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000001"
OP-101,2025-01-05,"Alquiler del local — 01/2025 (Factura A 0055-00000001)",1.1.03.01,"IVA Crédito Fiscal",105000.00,0.00,"FA 0055-00000001"
OP-101,2025-01-05,"Alquiler del local — 01/2025 (Factura A 0055-00000001)",1.1.01.02,"Banco c/c ARS",0.00,605000.00,"FA 0055-00000001"
OP-003,2025-01-10,"Compra de muebles y útiles al contado (Factura A 0001-00000012)",1.2.01.03,"Muebles y útiles",6000000.00,0.00,"FA 0001-00000012"
OP-003,2025-01-10,"Compra de muebles y útiles al contado (Factura A 0001-00000012)",1.1.03.01,"IVA Crédito Fiscal",1260000.00,0.00,"FA 0001-00000012"
OP-003,2025-01-10,"Compra de muebles y útiles al contado (Factura A 0001-00000012)",1.1.01.02,"Banco c/c ARS",0.00,7260000.00,"FA 0001-00000012"
OP-004,2025-01-10,"Compra de un rodado usado al contado (Factura A 0002-00000045)",1.2.01.04,"Rodados",4000000.00,0.00,"FA 0002-00000045"
OP-004,2025-01-10,"Compra de un rodado usado al contado (Factura A 0002-00000045)",1.1.03.01,"IVA Crédito Fiscal",840000.00,0.00,"FA 0002-00000045"
OP-004,2025-01-10,"Compra de un rodado usado al contado (Factura A 0002-00000045)",1.1.01.02,"Banco c/c ARS",0.00,4840000.00,"FA 0002-00000045"
OP-010,2025-01-15,"Compra de mercaderías al contado — lote 1 (1.000 u) (Factura A 0011-00000003)",1.1.04.01,"Mercaderías",10000000.00,0.00,"FA 0011-00000003"
OP-010,2025-01-15,"Compra de mercaderías al contado — lote 1 (1.000 u) (Factura A 0011-00000003)",1.1.03.01,"IVA Crédito Fiscal",2100000.00,0.00,"FA 0011-00000003"
OP-010,2025-01-15,"Compra de mercaderías al contado — lote 1 (1.000 u) (Factura A 0011-00000003)",1.1.01.02,"Banco c/c ARS",0.00,12100000.00,"FA 0011-00000003"
OP-011,2025-01-15,"Flete sobre la compra del lote 1 — activado al costo (Factura A 0020-00000077)",1.1.04.01,"Mercaderías",400000.00,0.00,"FA 0020-00000077"
OP-011,2025-01-15,"Flete sobre la compra del lote 1 — activado al costo (Factura A 0020-00000077)",1.1.03.01,"IVA Crédito Fiscal",84000.00,0.00,"FA 0020-00000077"
OP-011,2025-01-15,"Flete sobre la compra del lote 1 — activado al costo (Factura A 0020-00000077)",1.1.01.02,"Banco c/c ARS",0.00,484000.00,"FA 0020-00000077"
OP-201,2025-01-31,"Liquidación de sueldos y cargas sociales — 01/2025",4.5.01,"Sueldos y jornales",1200000.00,0.00,"Libro de sueldos 01/2025"
OP-201,2025-01-31,"Liquidación de sueldos y cargas sociales — 01/2025",4.5.02,"Cargas sociales",300000.00,0.00,"Libro de sueldos 01/2025"
OP-201,2025-01-31,"Liquidación de sueldos y cargas sociales — 01/2025",2.1.02.01,"Sueldos a pagar",0.00,996000.00,"Libro de sueldos 01/2025"
OP-201,2025-01-31,"Liquidación de sueldos y cargas sociales — 01/2025",2.1.02.03,"Retenciones so/ sueldos a depositar",0.00,204000.00,"Libro de sueldos 01/2025"
OP-201,2025-01-31,"Liquidación de sueldos y cargas sociales — 01/2025",2.1.02.02,"Cargas sociales a pagar",0.00,300000.00,"Libro de sueldos 01/2025"
OP-005,2025-02-03,"Compra de equipos de computación en cuenta corriente (Factura A 0007-00000101)",1.2.01.05,"Equipos de computación",3000000.00,0.00,"FA 0007-00000101"
OP-005,2025-02-03,"Compra de equipos de computación en cuenta corriente (Factura A 0007-00000101)",1.1.03.01,"IVA Crédito Fiscal",630000.00,0.00,"FA 0007-00000101"
OP-005,2025-02-03,"Compra de equipos de computación en cuenta corriente (Factura A 0007-00000101)",2.1.06.01,"Acreedores varios",0.00,3630000.00,"FA 0007-00000101"
OP-102,2025-02-05,"Alquiler del local — 02/2025 (Factura A 0055-00000002)",4.5.03,"Alquileres perdidos",500000.00,0.00,"FA 0055-00000002"
